,HMI_214_DL,振动风选_1#振动X,振动风选_1#振动Y,振动风选_1#振动Z,振动风选_2#振动X,振动风选_2#振动Y,振动风选_2#振动Z,振动风选_3#振动X,振动风选_3#振动Y,振动风选_3#振动Z,振动风选_4#振动X,振动风选_4#振动Y,振动风选_4#振动Z,振动风选_5#振动X,振动风选_5#振动Y,振动风选_5#振动Z
111,14.31,-4.4939,-4.6784,-4.8411,-4.04,-4.8737,-5.1684,-7.1776,-8.2338,-8.9861,-4.6114,-4.0092,-3.7271,-3.6439,18.5131,-4.2335
112,14.31,-3.964,,-4.3293,-3.6475,-4.436,-4.6675,-6.3186,-7.3241,-6.6875,-5.7146,-3.9875,-4.1105,-0.9059,-34.1778,-2.6529
113,14.31,-4.6693,,,,,,,,,,,,,,
114,14.31,-4.6422,-4.7851,-5.0364,-4.2443,-5.1142,-5.4705,-7.8884,-8.6642,-11.0206,-3.0417,-3.9116,-2.709,-7.136,45.2944,-6.2029
115,14.31,-4.3583,-4.6802,-4.7995,-4.0834,-4.9659,-5.3167,-7.5194,-8.4978,-9.5232,-4.1214,-3.955,-3.3076,-5.107,4.0039,-4.7435
116,14.31,-4.2208,-4.6042,-4.7308,-3.9459,-4.7742,-5.0798,-7.0529,-8.0312,-9.3984,-4.3637,-3.8881,-3.4468,-2.6149,3.1449,-3.199
117,14.31,-4.389,-4.6313,-4.6964,-3.9911,-4.738,-4.9532,-6.9624,-7.7762,-9.223,-4.087,-3.8627,-3.3853,-4.635,4.2408,-4.7218
118,14.31,-4.1503,,,,,,,,,,,,,,
119,14.27,-4.219,-4.559,-4.5319,-3.7669,-4.5717,-4.8086,-6.3331,-7.646,-7.2048,-5.6097,-4.0074,-4.2696,-3.756,-33.458,-5.125
120,14.27,-4.4197,,,,,,,,,,,,,,
121,14.27,-4.1141,,,,,,,,,,,,,,
122,14.27,-4.2244,-4.5373,-4.5373,-3.7307,-4.55,-4.8248,-6.5628,-7.5954,-7.4887,-5.3909,-4.0056,-4.0997,-5.1829,-20.345,-6.9733
